,DEPT,ASP,Facies_IPSOM_IPSOM,GR,LLD,PHIE,TNPH,VSH_GR,WELL
178085,1168.5,0.543058,2.0,166.3425,15.87169,0.177651,0.25125,0.2567182,63
178086,1168.6,0.555938,2.0,163.9575,17.42089,0.178521,0.24768,0.2352579,63
178087,1168.7,0.569838,2.0,161.7188,18.95183,0.17943,0.24462,0.2167487,63
178088,1168.8,0.585418,2.0,159.615,20.34204,0.17998,0.24156,0.2006849,63
178089,1168.9,0.601738,1.0,157.635,21.42669,0.179657,0.23799,0.1866553,63
178090,1169.0,0.617838,1.0,155.655,22.53568,0.179601,0.23493,0.1736064,63
178091,1169.1,0.632938,1.0,153.5625,23.52702,0.179391,0.23187,0.1608062,63
178092,1169.2,0.646458,1.0,151.47,24.35836,0.178902,0.22881,0.1489498,63
178093,1169.3,0.658098,1.0,149.6138,24.94825,0.177952,0.22575,0.1391658,63
178094,1169.4,0.667998,1.0,148.2075,25.0421,0.175931,0.22218,0.1321839,63
178095,1169.5,0.679318,1.0,147.4763,24.99322,0.173875,0.21912,0.1286929,63
178096,1169.6,0.686518,1.0,147.4312,24.47628,0.171109,0.21606,0.1284811,63
178097,1169.7,0.687838,1.0,147.7688,23.49782,0.167832,0.213,0.1300781,63
178098,1169.8,0.686058,1.0,148.14,23.43778,0.167986,0.21351,0.1318578,63
178099,1169.9,0.681258,1.0,148.4662,24.56441,0.172653,0.21861,0.1334418,63
178100,1170.0,0.673898,1.0,148.8038,26.31935,0.180777,0.22728,0.1351005,63
178101,1170.1,0.665038,4.0,149.3663,29.11969,0.19374,0.24105,0.1379109,63
178102,1170.2,0.659898,2.0,150.2888,32.63024,0.211111,0.25941,0.142647,63
178103,1170.3,0.654458,4.0,151.8075,33.77099,0.22484,0.27471,0.1508013,63
178104,1170.4,0.642518,4.0,153.675,33.10315,0.235312,0.28746,0.1614698,63
178105,1170.5,0.629418,4.0,155.4075,31.1477,0.242141,0.29664,0.1720408,63
178106,1170.6,0.614738,4.0,156.5663,28.42942,0.245281,0.30174,0.1794945,63
178107,1170.7,0.597198,4.0,157.1738,25.11949,0.24367,0.30174,0.1835304,63
178108,1170.8,0.578518,4.0,157.23,22.63885,0.242511,0.30174,0.1839087,63
178109,1170.9,0.559038,4.0,156.8925,20.72351,0.241635,0.30174,0.1816508,63
178110,1171.0,0.539098,4.0,156.4763,19.14627,0.240694,0.30174,0.1789042,63
178111,1171.1,0.519358,4.0,156.4425,17.88447,0.240247,0.30276,0.1786833,63
178112,1171.2,0.500778,4.0,156.915,16.8309,0.240242,0.3048,0.1818005,63
178113,1171.3,0.482738,4.0,157.5,15.89801,0.240544,0.30735,0.1857352,63
178114,1171.4,0.465098,4.0,158.0287,14.84554,0.2398,0.30888,0.1893649,63
178115,1171.5,0.447738,4.0,158.7825,13.71557,0.238186,0.3099,0.194662,63
178116,1171.6,0.430478,4.0,159.525,12.56916,0.235948,0.31041,0.2000249,63
178117,1171.7,0.413318,4.0,160.0762,11.45445,0.233306,0.31041,0.2041018,63
178118,1171.8,0.396518,4.0,160.875,10.21986,0.228733,0.30888,0.2101571,63
178119,1171.9,0.380418,3.0,162.18,9.093142,0.223947,0.30786,0.2204391,63
178120,1172.0,0.365478,3.0,163.5638,8.131583,0.219527,0.30735,0.2318915,63
178121,1172.1,0.352198,3.0,165.0713,7.276234,0.214967,0.30684,0.2450465,63
178122,1172.2,0.340898,3.0,166.815,6.46806,0.209621,0.30582,0.2611966,63
178123,1172.3,0.331518,3.0,168.7613,5.779605,0.204505,0.30531,0.2804824,63
178124,1172.4,0.323938,2.0,170.7637,5.166598,0.199294,0.3048,0.3018128,63
178125,1172.5,0.317838,2.0,172.9238,4.597806,0.193717,0.30429,0.3266432,63
178126,1172.6,0.312618,4.0,175.2188,4.143376,0.18917,0.30531,0.3552674,63
178127,1172.7,0.307898,4.0,177.5475,3.809555,0.18624,0.30837,0.3868776,63
